COLOR,SOL,SEQ_ID,FEATURE,LTST,INCIDENCE_ANGLE,EMISSION_ANGLE,SOLAR_ELEVATION,SOLAR_AZIMUTH,INSTRUMENT,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_STD,L0B_STD,R0B_STD,L5_STD,L0G_STD,R0G_STD,L4_STD,L0R_STD,R0R_STD,L3_STD,L2_STD,L1_STD,R1_STD,R2_STD,R3_STD,R4_STD,R5_STD,R6_STD,L6_COUNT,L0B_COUNT,R0B_COUNT,L5_COUNT,L0G_COUNT,R0G_COUNT,L4_COUNT,L0R_COUNT,R0R_COUNT,L3_COUNT,L2_COUNT,L1_COUNT,R1_COUNT,R2_COUNT,R3_COUNT,R4_COUNT,R5_COUNT,R6_COUNT,AZIMUTH_ANGLE,FORMAT_VERSION,CALTARGET_ELEMENT,FILE_TIMESTAMP
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.75321007,0.75243358,0.74871855,0.75890195,0.75243358,0.74871855,0.75492783,0.75243358,0.74871855,0.74786674,0.73728383,0.72524949,0.72201062,0.70512462,0.69360513,0.6847604,0.66864512,0.65760928,0.00076841335,0.0023707676,0.0020899651,0.0011337407,0.0023707676,0.0020899651,0.0017414567,0.0023707676,0.0020899651,0.0026740691,0.0026781797,0.002326852,0.0020842474,0.0023546254,0.0022336555,0.0021060324,0.001963924,0.0018403769,882,882,902,881,882,902,882,882,902,882,882,881,901,900,900,900,900,901,76.46368,1.0 2021-09-20,RED_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.42781938,0.4200099,0.41603387,0.41987381,0.4200099,0.41603387,0.41972946,0.4200099,0.41603387,0.42007401,0.41182648,0.40027459,0.39611623,0.3735462,0.35889575,0.34955288,0.33630132,0.32763953,0.0010829526,0.0019590209,0.0016787204,0.0019080584,0.0019590209,0.0016787204,0.0015560741,0.0019590209,0.0016787204,0.0012491509,0.0012777049,0.0010817974,0.00093035619,0.0012628645,0.0014224496,0.0016278529,0.001700826,0.0014079435,899,899,885,899,899,885,899,899,885,899,899,899,885,885,885,885,885,885,76.46368,1.0 2021-09-20,GREEN_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.10351683,0.084211824,0.078967131,0.093834925,0.084211824,0.078967131,0.085583919,0.084211824,0.078967131,0.081421987,0.09054147,0.099829037,0.095286009,0.13784848,0.17775111,0.19921904,0.2175781,0.21749007,0.0026135447,0.0020915566,0.0019818391,0.0016876891,0.0020915566,0.0019818391,0.0012775781,0.0020915566,0.0019818391,0.0012053255,0.0011177321,0.00095843436,0.00097823462,0.0011084123,0.0012187951,0.0014626381,0.0015357745,0.0013547751,884,884,892,884,884,892,884,884,892,884,884,884,892,892,892,892,892,892,76.46368,1.0 2021-09-20,BLUE_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.7832766,0.78911624,0.80707592,0.78590078,0.78911624,0.80707592,0.78814191,0.78911624,0.80707592,0.78965471,0.78807609,0.78704814,0.80279905,0.80657898,0.80543973,0.80372475,0.80122203,0.79848402,0.00027433666,0.00086615049,0.00063191466,0.00046920989,0.00086615049,0.00063191466,0.00060018633,0.00086615049,0.00063191466,0.00056451197,0.0004576281,0.00042165987,0.0003856851,0.0004207496,0.00039804973,0.000401835,0.00037508688,0.00035311487,1271,1271,1280,1271,1271,1280,1271,1271,1280,1271,1271,1271,1280,1280,1280,1280,1280,1280,76.46368,1.0 2021-09-20,BLACK_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.10349468,0.38001988,0.39302641,0.09764839,0.38001988,0.39302641,0.21433521,0.38001988,0.39302641,0.51829063,0.58275179,0.58032027,0.59815684,0.59776341,0.59861899,0.60209705,0.60291451,0.59464151,0.0027047495,0.0038996104,0.0038535461,0.003673504,0.0038996104,0.0038535461,0.0043726237,0.0038996104,0.0038535461,0.003907214,0.003096049,0.0026782769,0.0025943665,0.0020918077,0.001823291,0.0016731104,0.001525541,0.0012727569,1269,1269,1283,1269,1269,1283,1269,1269,1283,1269,1269,1269,1283,1283,1283,1283,1283,1283,76.46368,1.0 2021-09-20,DARK_GRAY_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.15617679,0.15018009,0.14848533,0.28089383,0.15018009,0.14848533,0.15114725,0.15018009,0.14848533,0.1477756,0.18971756,0.18196456,0.18066381,0.24775991,0.37906046,0.47924049,0.52630643,0.51632122,0.002667772,0.0031085961,0.0030264679,0.0031893613,0.0031085961,0.0030264679,0.0034439014,0.0031085961,0.0030264679,0.0028844326,0.0023222762,0.0020751423,0.002083137,0.0017148771,0.0015580721,0.0014601072,0.0013356347,0.0011680336,1268,1268,1317,1268,1268,1317,1268,1268,1317,1268,1268,1268,1317,1317,1317,1317,1317,1317,76.46368,1.0 2021-09-20,LIGHT_GRAY_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.3379131,0.13536815,0.13250607,0.24955209,0.13536815,0.13250607,0.13262378,0.13536815,0.13250607,0.13047839,0.16253421,0.15631006,0.15377726,0.21160649,0.33585961,0.43447641,0.47965794,0.46708864,0.0027303425,0.0048120385,0.0050785429,0.0043064538,0.0048120385,0.0050785429,0.0053749415,0.0048120385,0.0050785429,0.0049165387,0.0040992266,0.003759182,0.0036064219,0.0031521587,0.002859047,0.0027199039,0.0025989896,0.0022503616,1230,1230,1314,1230,1230,1314,1230,1230,1314,1230,1230,1230,1314,1314,1314,1314,1314,1314,76.46368,1.0 2021-09-20,WHITE_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.59352459,0.58451877,0.56042839,0.59374349,0.58451877,0.56042839,0.58711321,0.58451877,0.56042839,0.58032686,0.57241386,0.56130931,0.54160731,0.52694005,0.51726828,0.51037304,0.49839761,0.49062689,0.00030387783,0.0020711526,0.001819823,0.00052994968,0.0020711526,0.001819823,0.0010375623,0.0020711526,0.001819823,0.0029743702,0.0029949788,0.0028417218,0.002663981,0.0023204511,0.0020895937,0.0018896513,0.0017869659,0.0016211989,1266,1266,1295,1266,1266,1295,1266,1266,1295,1266,1266,1266,1295,1295,1295,1295,1295,1295,76.46368,1.0 2021-09-20,RED_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.3306229,0.318643,0.31657578,0.32118926,0.318643,0.31657578,0.31890743,0.318643,0.31657578,0.3179116,0.31070719,0.30104382,0.29611472,0.2772423,0.26556446,0.25842473,0.24862532,0.24249696,0.0015026738,0.0020242319,0.0019171551,0.0031613675,0.0020242319,0.0019171551,0.0018975533,0.0020242319,0.0019171551,0.0014842911,0.0014326928,0.001290449,0.0012218915,0.0013215868,0.0019182195,0.0025002777,0.0027880257,0.0024964484,1230,1230,1302,1230,1230,1302,1230,1230,1302,1230,1230,1230,1302,1302,1302,1302,1302,1302,76.46368,1.0 2021-09-20,GREEN_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.090423255,0.067895712,0.066591212,0.079199828,0.067895712,0.066591212,0.069668591,0.067895712,0.066591212,0.064700162,0.071373661,0.078589562,0.07742908,0.11135859,0.14307311,0.15988885,0.17384263,0.17280479,0.0011347163,0.0011688711,0.00077678871,0.00080971205,0.0011688711,0.00077678871,0.0006125381,0.0011688711,0.00077678871,0.00050426008,0.00050309407,0.00046143745,0.00040760052,0.00049539616,0.00072900711,0.0011934404,0.0014271526,0.0013142638,1247,1247,1279,1247,1247,1279,1247,1247,1279,1247,1246,1247,1279,1279,1279,1279,1279,1279,76.46368,1.0 2021-09-20,BLUE_SECONDARY_VERTICAL,2023-02-16T20:36:20.060454
